date,province_eng,region_eng,Net_Profit_all,net_profit_foreign,net_profit_thai,no_tourist_all,no_tourist_foreign,no_tourist_thai,occupancy_rate
1/1/2019,Bangkok,central," $81,926.49 "," $52,183.91 "," $29,742.58 ",5959075,2425014,3534061,93.37
1/1/2019,Lopburi ,central, $457.24 , $5.41 , $451.83 ,268664,2363,266301,61.32
1/1/2019,Phra Nakhon Si Ayutthaya ,central," $1,438.73 ", $384.48 ," $1,054.25 ",730329,168776,561553,73.37
1/1/2019,Saraburi ,central, $347.79 , $11.60 , $336.19 ,207236,5836,201400,67.33
1/1/2019,Chainat ,central, $101.79 , $0.89 , $100.90 ,79073,559,78514,79.31
1/1/2019,Nakhon Pathom ,central, $407.98 , $16.86 , $391.12 ,296107,11699,284408,71.7
1/1/2019,Sing Buri ,central, $69.61 , $0.39 , $69.22 ,49438,248,49190,64.65
1/1/2019,Ang Thong ,central, $132.07 , $5.75 , $126.32 ,104097,5281,98816,71.21
1/1/2019,Nonthaburi ,central, $527.42 , $105.09 , $422.33 ,323717,30373,293344,75.07
1/1/2019,Pathum Thani ,central, $307.92 , $103.78 , $204.14 ,233295,60878,172417,60.77
1/1/2019,Samut Prakan ,central, $796.19 , $487.86 , $308.33 ,408652,209328,199324,72.5
1/1/2019,Samut Sakhon ,central, $164.49 , $0.73 , $163.76 ,109253,421,108832,61.64
1/1/2019,Chachoengsao ,east, $292.96 , $4.78 , $288.18 ,270438,3731,266707,59.4
1/1/2019,Ratchaburi ,central, $450.01 , $10.83 , $439.18 ,236440,4553,231887,75.09
1/1/2019,Kanchanaburi ,central," $2,695.15 ", $256.96 ," $2,438.19 ",752901,45211,707690,83.8
1/1/2019,Samut Songkhram ,central, $344.93 , $7.34 , $337.59 ,201751,3799,197952,75.6
1/1/2019,Suphan Buri ,central, $487.61 , $2.71 , $484.90 ,235981,1748,234233,89.43
1/1/2019,Phetchaburi ,central," $2,352.55 ", $575.99 ," $1,776.56 ",713674,70307,643367,81.2
1/1/2019,Prachuap Khiri Khan ,central," $3,755.10 "," $1,238.26 "," $2,516.84 ",639052,127972,511080,64.55
1/1/2019,Chonburi ,east," $27,896.45 "," $23,929.01 "," $3,967.44 ",1570327,937411,632916,84.33
1/1/2019,Chanthaburi ,east, $844.48 , $48.77 , $795.71 ,257105,6956,250149,68.86
1/1/2019,Trat ,east," $2,073.22 "," $1,173.07 ", $900.15 ,224218,81544,142674,80.48
1/1/2019,Nakhon Nayok ,east, $842.49 , $6.29 , $836.20 ,278705,2456,276249,68.39
1/1/2019,Prachinburi ,east, $521.29 , $41.89 , $479.40 ,183846,13125,170721,68.57
1/1/2019,Rayong ,east," $2,435.41 ", $454.99 ," $1,980.42 ",650811,69188,581623,70.11
1/1/2019,Sa Kaeo ,east, $581.60 , $97.91 , $483.69 ,199751,34620,165131,56.69
1/1/2019,Phuket ,south," $55,328.20 "," $50,557.61 "," $4,770.59 ",1690776,1333007,357769,86.05
1/1/2019,Phatthalung ,south, $181.32 , $2.51 , $178.81 ,120318,797,119521,68.66
1/1/2019,Trang ,south," $1,250.16 ", $220.49 ," $1,029.67 ",173715,24316,149399,72.3
1/1/2019,Ranong ,south, $368.38 , $45.56 , $322.82 ,110844,7054,103790,59.33
1/1/2019,Chumphon ,south, $496.86 , $49.49 , $447.37 ,116543,10583,105960,61.94
1/1/2019,Pattani ,south, $79.15 , $0.68 , $78.47 ,22499,154,22345,78.47
1/1/2019,Yala ,south, $236.37 , $199.33 , $37.04 ,52984,43417,9567,52.53
1/1/2019,Nakhon Si Thammarat ,south," $1,270.86 ", $35.37 ," $1,235.49 ",384120,10962,373158,59.84
1/1/2019,Narathiwat ,south, $246.03 , $182.08 , $63.95 ,66654,42389,24265,63.95
1/1/2019,Krabi ,south," $10,844.79 "," $7,855.39 "," $2,989.40 ",564380,378823,185557,81.62
1/1/2019,Songkhla ,south," $6,531.35 "," $2,925.98 "," $3,605.37 ",774786,242563,532223,74.85
1/1/2019,Phang Nga ,south," $6,062.06 "," $5,132.31 ", $929.75 ,536274,384791,151483,86.51
1/1/2019,Surat Thani ,south," $9,795.40 "," $8,509.43 "," $1,285.97 ",540614,357114,183500,75.59
1/1/2019,Satun ,south," $1,762.52 ", $101.22 ," $1,661.30 ",210906,20079,190827,74.9
1/1/2019,Kamphaeng Phet ,north, $156.40 , $7.26 , $149.14 ,74421,2238,72183,57.35
1/1/2019,Chiang Rai ,north," $3,204.26 ", $576.25 ," $2,628.01 ",453291,67226,386065,81.25
1/1/2019,Chiang Mai ,north," $12,004.62 "," $4,333.95 "," $7,670.67 ",1173786,331956,841830,91.04
1/1/2019,Phichit ,north, $136.24 , $0.90 , $135.34 ,64359,582,63777,57.68
1/1/2019,Nakhon Sawan ,north, $349.65 , $8.68 , $340.97 ,189826,6339,183487,63.54
1/1/2019,Tak ,north, $715.40 , $20.23 , $695.17 ,241654,5646,236008,76.98
1/1/2019,Phitsanulok ,north, $989.88 , $73.02 , $916.86 ,387608,22744,364864,71.52
1/1/2019,Phayao ,north, $148.56 , $4.63 , $143.93 ,80767,3468,77299,69.37
